,customer_id_x,customer_unique_id,customer_zip_code_prefix_x,customer_city_x,customer_state_x,first_order_date_x,last_order_date_x,num_orders_x,num_order_days_x,total_num_items_x,total_price_x,total_freight_x,total_order_value_x,avg_freight_ratio_x,avg_item_price_x,avg_order_value_x,customer_id_y,customer_zip_code_prefix_y,customer_city_y,customer_state_y,first_order_date_y,last_order_date_y,num_orders_y,num_order_days_y,total_num_items_y,total_price_y,total_freight_y,total_order_value_y,avg_freight_ratio_y,avg_item_price_y,avg_order_value_y
0,b59240e14630c3dad40626dcdaf69b18,5faabfe6772088c4d906b63fa81ac63d,95047,caxias do sul,RS,2018-07-13 19:03:58,2018-07-13 19:03:58,1,1,1,47.49,18.43,65.92,0.2795813106796116,47.49,65.92,b59240e14630c3dad40626dcdaf69b18,95047,caxias do sul,RS,2017-07-18 12:50:48,2017-07-18 12:50:48,1,1,1,84.9,16.35,101.25,0.1614814814814815,84.9,101.25
1,4ef76507e862f7edd473055de9012894,580e86cc6d0c8eafede3d6f2fa4bf9ab,54768,camaragibe,PE,2018-06-11 01:15:16,2018-06-11 01:15:16,1,1,1,39.0,20.4,59.4,0.3434343434343434,39.0,59.4,4ef76507e862f7edd473055de9012894,54768,camaragibe,PE,2017-07-14 20:00:10,2017-07-14 20:00:10,1,1,1,29.0,17.63,46.629999999999995,0.37808277932661377,29.0,46.629999999999995
2,fed211da19560ffd876f33622522fe93,cb36d0f12c99d07935b706269045f613,96200,rio grande,RS,2018-06-01 22:15:14,2018-06-01 22:15:14,1,1,1,79.9,19.53,99.43,0.19641959167253345,79.9,99.43,fed211da19560ffd876f33622522fe93,96200,rio grande,RS,2017-03-26 17:22:23,2017-03-26 17:22:23,1,1,1,84.99,14.76,99.75,0.14796992481203008,84.99,99.75
3,e9837d053b096d1d743efcaaae03cb95,053b7090271ed4dacbfe0afd6382bbab,6030,osasco,SP,2017-09-28 23:28:06,2017-09-28 23:28:06,1,1,1,17.9,8.27,26.169999999999998,0.31601069927397785,17.9,26.169999999999998,e9837d053b096d1d743efcaaae03cb95,6030,osasco,SP,2017-07-31 23:25:11,2017-07-31 23:25:11,1,1,4,51.96,37.36,89.32,0.4182713837886252,51.96,89.32
4,8f9cdc2bab0d953cab1e98d25253d8fe,339c527109c4c03e8e09bd4b593dab5f,15760,urania,SP,2017-09-27 13:56:24,2017-09-27 13:56:24,1,1,1,279.99,28.28,308.27,0.09173776235118566,279.99,308.27,8f9cdc2bab0d953cab1e98d25253d8fe,15760,urania,SP,2017-03-28 03:43:42,2017-03-28 03:43:42,1,1,1,79.95,15.77,95.72,0.16475135812787295,79.95,95.72
5,3484542c6ea610e48fd062a81b8d2220,2b952792a20f6076f6e7a9c6a27ade02,13315,cabreuva,SP,2017-11-28 03:41:38,2017-11-28 03:41:38,1,1,1,64.9,17.7,82.60000000000001,0.21428571428571425,64.9,82.60000000000001,3484542c6ea610e48fd062a81b8d2220,13315,cabreuva,SP,2017-06-06 15:15:10,2017-06-06 15:15:10,1,1,2,31.98,15.56,47.54,0.3273033235170383,31.98,47.54
6,96c492da7645ca77d09a59b20d415cfe,ccafc1c3f270410521c3c6f3b249870f,74820,goiania,GO,2018-06-12 23:31:02,2018-06-12 23:31:02,1,1,1,132.4,14.05,146.45000000000002,0.09593717992488904,132.4,146.45000000000002,96c492da7645ca77d09a59b20d415cfe,74820,goiania,GO,2016-10-07 10:13:16,2016-10-07 10:13:16,1,1,1,41.99,19.07,61.06,0.3123157549950868,41.99,61.06
7,eca08a2a142685e81a822aff8d3df37b,87ae4c644c15d9c6b6f826dfec33b340,27273,volta redonda,RJ,2017-11-14 01:06:51,2017-11-14 01:06:51,1,1,1,114.9,20.04,134.94,0.14851044908848376,114.9,134.94,eca08a2a142685e81a822aff8d3df37b,27273,volta redonda,RJ,2017-08-15 03:03:44,2017-08-15 03:03:44,1,1,1,29.99,15.1,45.089999999999996,0.3348857839875804,29.99,45.089999999999996
8,3ba5643f5a7590edc685213353b7ee65,6832ad9ac97f82c7c5d614fb8e632e7b,21740,rio de janeiro,RJ,2018-06-03 18:55:17,2018-06-03 18:55:17,1,1,1,99.99,23.28,123.27,0.18885373570211733,99.99,123.27,3ba5643f5a7590edc685213353b7ee65,21740,rio de janeiro,RJ,2017-08-28 11:45:16,2017-08-28 11:45:16,1,1,1,109.0,18.01,127.01,0.14179985827887567,109.0,127.01
9,fa0e5df09f025f13bba8dd3c7f58ca9a,e8bab621313ad2a3c0ce8e3a023ff9bb,13059,campinas,SP,2017-09-20 18:45:41,2017-09-20 18:45:41,1,1,1,254.0,13.28,267.28,0.049685722837473814,254.0,267.28,fa0e5df09f025f13bba8dd3c7f58ca9a,13059,campinas,SP,2017-05-16 14:15:16,2017-05-16 14:15:16,1,1,1,212.0,12.98,224.98,0.057694017245977426,212.0,224.98
10,d1fc9fe690ac0f423da5b742d3d45620,9194f9aedc33b4f984bcdcc7da7461f4,18305,capao bonito,SP,2018-05-18 22:58:12,2018-05-18 22:58:12,1,1,3,99.0,39.300000000000004,138.3,0.2841648590021692,99.0,138.3,d1fc9fe690ac0f423da5b742d3d45620,18305,capao bonito,SP,2017-06-06 19:55:12,2017-06-06 19:55:12,1,1,1,49.9,11.85,61.75,0.19190283400809716,49.9,61.75
